close,date,high,low,open,volume
310.83,2019-08-12,312.89,303.24,305.46,6531700
312.28,2019-08-13,316.43,308.16,309.77,5289400
299.11,2019-08-14,308.41,298.01,308.01,7355800
295.76,2019-08-15,300.63,288.0,299.5,9629200
302.8,2019-08-16,303.55,296.27,298.86,6905800
309.38,2019-08-19,311.75,304.75,306.25,4942200
298.99,2019-08-20,305.0,297.68,304.57,7349900
297.81,2019-08-21,302.88,296.2,301.61,5685400
296.93,2019-08-22,300.33,293.15,298.65,4974200
291.44,2019-08-23,299.01,290.32,295.0,6324900
294.98,2019-08-26,296.95,292.5,295.24,4695700
291.03,2019-08-27,296.77,287.2,294.54,6309400
291.77,2019-08-28,292.82,287.75,289.47,3955700
296.78,2019-08-29,299.93,294.99,295.0,4388500
293.75,2019-08-30,298.94,290.85,298.78,4446400
289.29,2019-09-03,293.9,288.06,290.82,3682800
291.52,2019-09-04,292.38,286.51,291.25,4652500
293.25,2019-09-05,293.97,282.79,285.32,8966800
290.17,2019-09-06,293.35,287.03,293.35,5166600
294.34,2019-09-09,301.55,290.6,294.81,8232700
287.99,2019-09-10,297.17,282.66,291.16,12320200
288.27,2019-09-11,292.65,284.61,285.7,7405900
288.86,2019-09-12,292.73,286.6,288.1,5010900
294.15,2019-09-13,296.62,290.04,290.61,6583100
294.29,2019-09-16,297.43,289.78,294.23,5307400
298.6,2019-09-17,299.15,291.79,294.5,4777100
291.56,2019-09-18,296.05,287.45,294.99,7811100
286.6,2019-09-19,293.81,283.4,291.56,8461300
270.75,2019-09-20,282.5,266.0,280.26,23832800
265.92,2019-09-23,273.39,261.89,268.35,13478600
254.59,2019-09-24,265.0,252.28,262.5,16338200
264.75,2019-09-25,266.6,253.7,255.71,11643800
263.31,2019-09-26,268.05,260.2,266.42,7684000
263.08,2019-09-27,267.44,260.39,266.18,7328300
267.62,2019-09-30,268.88,262.78,264.0,6727200
269.58,2019-10-01,272.2,264.03,267.35,8650300
268.03,2019-10-02,269.35,262.19,263.61,7659100
268.15,2019-10-03,268.84,257.01,267.78,8951000
272.79,2019-10-04,275.48,266.47,268.2,9890400
274.46,2019-10-07,276.68,271.28,271.99,6525600
270.72,2019-10-08,275.53,270.64,273.03,6276400
267.53,2019-10-09,271.0,264.57,270.02,6794400
280.48,2019-10-10,280.53,265.03,265.97,10809100
282.93,2019-10-11,287.87,282.34,284.8,8786100
