close,date,high,low,open,volume
179.68,2019-08-12,182.77,178.6,181.26,1121300
182.0,2019-08-13,183.8,178.63,178.97,862000
174.29,2019-08-14,179.86,174.09,179.22,1149500
174.37,2019-08-15,176.78,172.62,175.61,950800
177.29,2019-08-16,178.34,175.46,175.93,1047200
177.62,2019-08-19,181.33,176.59,180.0,1070200
174.5,2019-08-20,178.16,174.3,177.24,774500
176.39,2019-08-21,177.52,175.02,176.07,620200
178.97,2019-08-22,181.41,177.45,177.91,972700
175.04,2019-08-23,179.15,173.8,177.84,1146600
175.19,2019-08-26,179.08,173.3,177.17,784400
173.8,2019-08-27,177.24,173.06,175.92,874000
177.31,2019-08-28,178.83,172.11,172.5,989500
179.95,2019-08-29,181.25,178.3,178.46,1028100
183.11,2019-08-30,186.21,180.55,182.0,1679300
177.91,2019-09-03,182.5,177.25,182.23,1890200
176.38,2019-09-04,180.72,174.24,180.35,1283900
177.11,2019-09-05,182.36,176.86,178.73,1222200
175.06,2019-09-06,179.13,174.38,178.65,1554900
173.16,2019-09-09,176.2,169.84,175.93,2014900
177.8,2019-09-10,179.35,171.32,172.89,2024500
179.77,2019-09-11,181.85,175.27,177.9,1278000
174.62,2019-09-12,184.55,174.06,181.65,1616800
177.47,2019-09-13,179.49,175.0,176.01,1210100
179.37,2019-09-16,179.54,176.16,176.46,1032000
177.65,2019-09-17,180.65,177.39,179.37,575500
175.8,2019-09-18,178.02,171.85,177.59,952700
180.36,2019-09-19,180.89,175.75,176.0,1119900
186.54,2019-09-20,188.16,179.5,180.8,2782000
183.89,2019-09-23,186.83,182.51,186.37,1224800
183.05,2019-09-24,186.57,182.24,185.18,1810200
183.63,2019-09-25,184.51,180.37,184.51,854500
178.99,2019-09-26,185.0,176.63,183.27,1160700
175.84,2019-09-27,181.84,175.18,179.59,687000
180.92,2019-09-30,181.85,176.51,176.51,948100
182.3,2019-10-01,183.34,179.53,181.22,1110800
179.75,2019-10-02,182.0,176.36,181.44,973200
184.77,2019-10-03,184.86,175.52,179.9,777200
181.59,2019-10-04,187.67,180.12,184.59,862500
184.51,2019-10-07,186.49,177.18,177.85,850600
184.3,2019-10-08,186.07,181.26,183.43,1057300
189.21,2019-10-09,191.56,185.65,186.08,1215500
194.17,2019-10-10,194.19,189.17,189.25,949300
200.16,2019-10-11,202.52,194.0,195.51,1754000
205.15,2019-10-14,206.7,199.8,200.16,1077900
209.25,2019-10-15,209.48,205.06,208.02,1024400
211.56,2019-10-16,212.65,208.1,208.98,827400
213.92,2019-10-17,215.2,209.22,212.23,838400
213.88,2019-10-18,216.43,210.28,214.68,1027800
210.04,2019-10-21,215.6,209.6,214.88,1393600
213.6,2019-10-22,215.6,207.03,210.98,1157400
217.5,2019-10-23,218.17,210.73,213.19,1186500
249.47,2019-10-24,251.7,233.41,237.3,4091100
243.38,2019-10-25,246.4,240.23,245.84,1127000
250.42,2019-10-28,253.45,241.76,243.36,1163500
256.12,2019-10-29,257.63,248.26,250.04,1104200
252.71,2019-10-30,255.65,247.54,255.65,812400
252.29,2019-10-31,253.41,246.16,251.32,702700
257.04,2019-11-01,261.87,253.02,254.31,935400
258.77,2019-11-04,260.17,255.11,258.25,815800
257.91,2019-11-05,260.2,255.15,258.87,833900
256.16,2019-11-06,260.49,255.11,257.83,931100
258.94,2019-11-07,261.6,253.33,257.92,844700
259.92,2019-11-08,261.28,255.65,258.18,685500
258.6,2019-11-11,260.72,257.51,258.69,527300
258.97,2019-11-12,262.5,257.07,258.42,548200
259.63,2019-11-13,261.0,255.27,257.32,382800
260.44,2019-11-14,262.02,259.0,260.26,392300
263.92,2019-11-15,265.24,259.2,260.48,602200
268.51,2019-11-18,269.43,265.0,266.6,801600
271.6,2019-11-19,272.86,266.22,269.6,605900
268.77,2019-11-20,271.39,264.96,269.84,601900
272.14,2019-11-21,273.0,267.43,269.0,500400
274.4,2019-11-22,275.74,268.7,271.07,639200
278.07,2019-11-25,279.88,275.03,276.0,655600
277.7,2019-11-26,281.57,277.2,277.67,647300
279.62,2019-11-27,280.72,278.08,279.01,442800
